X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,F,Y,Improvement,TREATMENT_NAME,MinTreatment,FollowRec,GroupId,ABS_Improvement,Total_Nbr_Follow_Rec,Total_Y_Follow_Rec,Total_Nbr_Not_Follow_Rec,Total_Y_Not_Follow_Rec,UPLIFT
38.0,72.0,7.0,13.0,38.0,29.0,70.0,45.0,17.0,57.0,61.0,24.0,62.0,31.0,44.0,14.0,42.0,58.0,73.0,41.0,3.0,69.0,71.0,78.0,41.0,73.0,50.0,82.0,1.0,31.0,71.0,26.0,84.0,65.0,38.0,43.0,18.0,34.0,75.0,57.0,43.0,15.0,34.0,45.0,63.0,26.0,18.0,1.0,72.0,34.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,7.0,5.0,4.0,0.0,0.7142857142857143
35.0,76.0,8.0,75.0,37.0,82.0,91.0,72.0,22.0,25.0,64.0,89.0,2.0,6.0,28.0,58.0,63.0,47.0,47.0,52.0,47.0,1.0,23.0,66.0,66.0,66.0,44.0,95.0,88.0,31.0,23.0,15.0,81.0,25.0,15.0,73.0,5.0,47.0,66.0,47.0,69.0,55.0,63.0,22.0,8.0,11.0,74.0,32.0,24.0,24.0,29.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,8.0,6.0,4.0,0.0,0.75
91.0,26.0,73.0,12.0,12.0,68.0,59.0,28.0,45.0,3.0,64.0,88.0,85.0,79.0,62.0,47.0,38.0,26.0,47.0,20.0,62.0,31.0,78.0,3.0,53.0,60.0,30.0,100.0,80.0,21.0,13.0,69.0,16.0,30.0,37.0,5.0,24.0,44.0,39.0,16.0,62.0,64.0,48.0,84.0,60.0,44.0,67.0,36.0,38.0,69.0,24.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,9.0,6.0,4.0,0.0,0.6666666666666666
75.0,71.0,67.0,40.0,71.0,8.0,40.0,59.0,69.0,61.0,30.0,72.0,22.0,34.0,15.0,54.0,68.0,15.0,39.0,15.0,78.0,62.0,43.0,44.0,88.0,47.0,32.0,82.0,80.0,60.0,62.0,32.0,58.0,7.0,31.0,34.0,31.0,9.0,49.0,75.0,27.0,40.0,3.0,3.0,8.0,43.0,14.0,28.0,77.0,48.0,6.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,10.0,7.0,4.0,0.0,0.7
18.0,6.0,71.0,58.0,15.0,86.0,64.0,32.0,22.0,15.0,49.0,23.0,27.0,31.0,48.0,57.0,23.0,45.0,38.0,67.0,13.0,40.0,45.0,54.0,66.0,10.0,2.0,96.0,72.0,76.0,16.0,49.0,24.0,56.0,83.0,34.0,37.0,29.0,23.0,50.0,77.0,3.0,29.0,76.0,60.0,42.0,41.0,28.0,1.0,61.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,10.0,7.0,5.0,0.0,0.7
80.0,6.0,14.0,15.0,23.0,55.0,102.0,42.0,57.0,7.0,58.0,66.0,39.0,60.0,48.0,67.0,23.0,48.0,11.0,12.0,70.0,58.0,60.0,19.0,94.0,84.0,10.0,76.0,69.0,27.0,63.0,51.0,38.0,35.0,52.0,18.0,44.0,58.0,19.0,46.0,3.0,55.0,55.0,34.0,39.0,58.0,59.0,18.0,54.0,66.0,8.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,11.0,8.0,5.0,0.0,0.7272727272727273
45.0,20.0,67.0,5.0,42.0,41.0,81.0,26.0,32.0,29.0,19.0,14.0,72.0,55.0,71.0,61.0,13.0,49.0,38.0,18.0,3.0,74.0,1.0,54.0,11.0,11.0,3.0,99.0,57.0,28.0,48.0,23.0,65.0,34.0,87.0,24.0,13.0,67.0,32.0,58.0,9.0,24.0,37.0,3.0,6.0,35.0,31.0,30.0,69.0,68.0,49.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,12.0,8.0,5.0,0.0,0.6666666666666666
28.0,12.0,25.0,87.0,83.0,83.0,29.0,69.0,40.0,39.0,10.0,81.0,13.0,54.0,13.0,76.0,72.0,36.0,4.0,43.0,15.0,1.0,32.0,55.0,88.0,70.0,72.0,101.0,23.0,86.0,71.0,56.0,42.0,32.0,7.0,32.0,47.0,16.0,64.0,31.0,18.0,72.0,35.0,4.0,24.0,46.0,62.0,16.0,22.0,11.0,5.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,13.0,9.0,5.0,0.0,0.6923076923076923
92.0,37.0,35.0,95.0,51.0,53.0,27.0,11.0,73.0,7.0,49.0,22.0,51.0,71.0,9.0,62.0,88.0,37.0,4.0,5.0,4.0,43.0,68.0,88.0,2.0,76.0,14.0,89.0,40.0,36.0,50.0,9.0,73.0,39.0,53.0,53.0,29.0,40.0,35.0,18.0,10.0,25.0,44.0,37.0,1.0,36.0,41.0,2.0,61.0,30.0,72.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,14.0,10.0,5.0,0.0,0.7142857142857143
3.0,77.0,22.0,5.0,49.0,41.0,11.0,46.0,16.0,57.0,57.0,70.0,10.0,15.0,53.0,62.0,45.0,48.0,28.0,5.0,1.0,1.0,83.0,68.0,93.0,11.0,2.0,89.0,39.0,29.0,16.0,50.0,52.0,58.0,87.0,11.0,40.0,27.0,9.0,37.0,3.0,6.0,3.0,54.0,28.0,12.0,76.0,28.0,31.0,52.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,14.0,10.0,6.0,0.0,0.7142857142857143
87.0,21.0,69.0,95.0,30.0,74.0,59.0,22.0,42.0,25.0,10.0,3.0,73.0,22.0,21.0,67.0,58.0,81.0,33.0,18.0,47.0,37.0,43.0,54.0,22.0,6.0,33.0,59.0,47.0,57.0,15.0,17.0,16.0,59.0,39.0,43.0,5.0,10.0,21.0,66.0,77.0,51.0,12.0,6.0,70.0,84.0,89.0,21.0,35.0,46.0,49.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,15.0,10.0,6.0,0.0,0.6666666666666666
55.0,32.0,59.0,58.0,23.0,28.0,55.0,2.0,14.0,37.0,58.0,79.0,9.0,75.0,46.0,65.0,40.0,41.0,28.0,61.0,84.0,8.0,40.0,8.0,46.0,29.0,72.0,82.0,16.0,43.0,15.0,24.0,11.0,44.0,39.0,1.0,31.0,41.0,17.0,22.0,49.0,75.0,58.0,35.0,43.0,54.0,91.0,31.0,37.0,37.0,49.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,16.0,11.0,6.0,0.0,0.6875
13.0,29.0,57.0,45.0,20.0,14.0,67.0,63.0,6.0,43.0,63.0,49.0,2.0,47.0,21.0,11.0,76.0,83.0,59.0,1.0,36.0,62.0,20.0,17.0,57.0,11.0,68.0,78.0,45.0,12.0,19.0,19.0,54.0,21.0,15.0,31.0,5.0,18.0,29.0,73.0,60.0,9.0,40.0,70.0,20.0,32.0,33.0,30.0,33.0,73.0,1.0,1,0.627114574921503,F,1.5,0.0,5,0.627114574921503,16.0,11.0,7.0,1.0,0.5446428571428572
55.0,58.0,39.0,79.0,44.0,86.0,34.0,44.0,12.0,7.0,44.0,70.0,35.0,21.0,48.0,43.0,67.0,39.0,10.0,15.0,17.0,68.0,28.0,43.0,80.0,90.0,66.0,95.0,5.0,57.0,21.0,65.0,3.0,52.0,37.0,1.0,38.0,58.0,21.0,31.0,69.0,38.0,39.0,4.0,60.0,84.0,4.0,9.0,35.0,34.0,16.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,17.0,12.0,7.0,1.0,0.5630252100840336
18.0,52.0,62.0,90.0,44.0,26.0,31.0,4.0,69.0,57.0,9.0,91.0,72.0,37.0,46.0,34.0,20.0,76.0,47.0,91.0,45.0,31.0,46.0,33.0,36.0,3.0,32.0,70.0,40.0,34.0,31.0,17.0,7.0,44.0,39.0,34.0,16.0,28.0,79.0,30.0,16.0,79.0,3.0,76.0,37.0,71.0,66.0,22.0,28.0,73.0,17.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,18.0,13.0,7.0,1.0,0.5793650793650793
55.0,77.0,83.0,95.0,63.0,60.0,6.0,42.0,25.0,51.0,65.0,23.0,27.0,72.0,37.0,64.0,76.0,43.0,37.0,73.0,70.0,31.0,56.0,3.0,11.0,69.0,19.0,88.0,73.0,51.0,33.0,19.0,44.0,25.0,24.0,3.0,32.0,19.0,49.0,79.0,18.0,47.0,28.0,28.0,48.0,40.0,91.0,9.0,30.0,66.0,41.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,19.0,14.0,7.0,1.0,0.593984962406015
59.0,6.0,32.0,56.0,23.0,39.0,64.0,4.0,50.0,55.0,49.0,82.0,39.0,59.0,39.0,59.0,11.0,43.0,10.0,5.0,48.0,46.0,65.0,54.0,94.0,60.0,54.0,66.0,81.0,87.0,19.0,19.0,44.0,45.0,39.0,1.0,4.0,25.0,68.0,71.0,64.0,17.0,48.0,85.0,1.0,3.0,32.0,36.0,61.0,32.0,56.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,20.0,14.0,7.0,1.0,0.5571428571428572
18.0,12.0,70.0,49.0,2.0,36.0,96.0,57.0,59.0,39.0,58.0,87.0,52.0,76.0,26.0,43.0,49.0,15.0,33.0,71.0,26.0,8.0,34.0,17.0,31.0,4.0,25.0,76.0,40.0,55.0,32.0,39.0,73.0,34.0,7.0,57.0,23.0,17.0,55.0,52.0,58.0,45.0,1.0,64.0,2.0,42.0,71.0,16.0,22.0,66.0,7.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,21.0,15.0,7.0,1.0,0.5714285714285714
21.0,18.0,60.0,84.0,34.0,83.0,51.0,58.0,60.0,7.0,58.0,79.0,13.0,36.0,21.0,25.0,20.0,37.0,8.0,63.0,49.0,27.0,64.0,33.0,16.0,43.0,41.0,92.0,27.0,22.0,16.0,15.0,54.0,25.0,87.0,34.0,51.0,5.0,29.0,57.0,61.0,43.0,3.0,4.0,22.0,83.0,36.0,3.0,11.0,29.0,49.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,22.0,16.0,7.0,1.0,0.5844155844155845
1.0,47.0,67.0,79.0,49.0,75.0,76.0,33.0,43.0,55.0,27.0,58.0,82.0,6.0,48.0,7.0,18.0,43.0,4.0,75.0,76.0,43.0,20.0,13.0,19.0,29.0,33.0,87.0,59.0,27.0,39.0,29.0,81.0,25.0,37.0,5.0,7.0,38.0,33.0,34.0,69.0,34.0,46.0,31.0,24.0,28.0,35.0,28.0,59.0,50.0,22.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,23.0,16.0,7.0,1.0,0.5527950310559007
59.0,1.0,67.0,18.0,6.0,33.0,91.0,52.0,12.0,13.0,7.0,70.0,43.0,69.0,54.0,40.0,26.0,34.0,26.0,43.0,3.0,8.0,71.0,3.0,93.0,54.0,48.0,82.0,33.0,63.0,65.0,60.0,29.0,52.0,91.0,17.0,51.0,34.0,90.0,46.0,21.0,44.0,26.0,71.0,45.0,62.0,61.0,28.0,23.0,23.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,23.0,16.0,8.0,1.0,0.5706521739130435
45.0,1.0,20.0,19.0,51.0,65.0,26.0,63.0,56.0,28.0,59.0,62.0,85.0,33.0,4.0,62.0,6.0,17.0,4.0,9.0,47.0,31.0,76.0,19.0,63.0,25.0,23.0,58.0,72.0,4.0,62.0,23.0,65.0,32.0,39.0,8.0,5.0,33.0,45.0,42.0,52.0,3.0,48.0,51.0,55.0,54.0,35.0,12.0,61.0,54.0,63.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,24.0,16.0,8.0,1.0,0.5416666666666666
71.0,77.0,19.0,40.0,51.0,41.0,76.0,73.0,9.0,63.0,25.0,38.0,2.0,45.0,48.0,33.0,26.0,76.0,67.0,73.0,34.0,35.0,59.0,71.0,39.0,1.0,60.0,63.0,83.0,55.0,56.0,32.0,28.0,55.0,31.0,1.0,12.0,53.0,12.0,83.0,69.0,72.0,50.0,64.0,55.0,58.0,72.0,24.0,28.0,35.0,22.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,25.0,17.0,8.0,1.0,0.555
80.0,27.0,7.0,40.0,45.0,72.0,98.0,31.0,15.0,51.0,34.0,43.0,13.0,59.0,39.0,5.0,18.0,37.0,4.0,79.0,33.0,58.0,1.0,17.0,21.0,84.0,70.0,89.0,57.0,63.0,2.0,12.0,5.0,25.0,7.0,44.0,16.0,7.0,66.0,55.0,20.0,20.0,55.0,17.0,34.0,34.0,32.0,25.0,59.0,71.0,68.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,26.0,18.0,8.0,1.0,0.5673076923076923
15.0,20.0,82.0,82.0,83.0,83.0,57.0,73.0,69.0,61.0,74.0,19.0,39.0,34.0,36.0,6.0,47.0,45.0,63.0,15.0,1.0,31.0,38.0,3.0,18.0,48.0,52.0,82.0,50.0,79.0,71.0,19.0,42.0,30.0,91.0,1.0,38.0,67.0,66.0,62.0,63.0,55.0,48.0,11.0,3.0,58.0,27.0,39.0,10.0,41.0,52.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,27.0,19.0,8.0,1.0,0.5787037037037037
51.0,12.0,29.0,5.0,12.0,82.0,5.0,63.0,67.0,25.0,49.0,49.0,22.0,72.0,65.0,22.0,64.0,44.0,27.0,66.0,47.0,31.0,79.0,65.0,77.0,60.0,50.0,94.0,21.0,65.0,72.0,71.0,81.0,48.0,70.0,8.0,5.0,27.0,1.0,48.0,24.0,25.0,50.0,4.0,34.0,84.0,82.0,32.0,67.0,50.0,49.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,28.0,19.0,8.0,1.0,0.5535714285714286
18.0,12.0,77.0,78.0,51.0,86.0,52.0,47.0,20.0,39.0,61.0,35.0,76.0,11.0,73.0,38.0,26.0,27.0,21.0,5.0,47.0,42.0,79.0,82.0,31.0,20.0,56.0,94.0,57.0,35.0,16.0,56.0,29.0,30.0,87.0,44.0,5.0,27.0,66.0,57.0,66.0,55.0,16.0,4.0,44.0,7.0,23.0,1.0,28.0,50.0,19.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,29.0,19.0,8.0,1.0,0.5301724137931034
42.0,77.0,64.0,66.0,12.0,14.0,50.0,20.0,56.0,13.0,84.0,87.0,2.0,56.0,50.0,43.0,13.0,45.0,62.0,61.0,84.0,25.0,79.0,17.0,18.0,40.0,5.0,100.0,51.0,8.0,39.0,28.0,21.0,32.0,15.0,1.0,21.0,56.0,82.0,73.0,66.0,12.0,29.0,85.0,37.0,78.0,35.0,36.0,33.0,73.0,31.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,30.0,20.0,8.0,1.0,0.5416666666666666
90.0,13.0,43.0,3.0,18.0,20.0,91.0,26.0,31.0,43.0,38.0,20.0,57.0,59.0,52.0,3.0,47.0,43.0,45.0,12.0,28.0,74.0,38.0,19.0,64.0,71.0,41.0,100.0,71.0,2.0,53.0,71.0,48.0,20.0,2.0,1.0,70.0,9.0,66.0,26.0,63.0,51.0,33.0,81.0,34.0,70.0,71.0,35.0,69.0,3.0,63.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,31.0,21.0,8.0,1.0,0.5524193548387096
66.0,42.0,39.0,95.0,83.0,16.0,31.0,16.0,12.0,61.0,19.0,86.0,8.0,13.0,63.0,70.0,76.0,45.0,46.0,49.0,47.0,21.0,25.0,17.0,76.0,23.0,56.0,85.0,58.0,36.0,39.0,3.0,38.0,61.0,49.0,70.0,56.0,7.0,68.0,22.0,18.0,47.0,18.0,64.0,49.0,67.0,7.0,23.0,67.0,76.0,4.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,32.0,22.0,8.0,1.0,0.5625
45.0,69.0,40.0,19.0,30.0,14.0,17.0,63.0,23.0,51.0,32.0,76.0,8.0,44.0,82.0,20.0,78.0,47.0,10.0,73.0,34.0,56.0,40.0,31.0,88.0,25.0,72.0,67.0,45.0,43.0,35.0,5.0,87.0,63.0,25.0,58.0,49.0,28.0,90.0,55.0,56.0,16.0,18.0,64.0,22.0,80.0,39.0,28.0,2.0,70.0,2.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,33.0,22.0,8.0,1.0,0.5416666666666666
43.0,29.0,38.0,95.0,8.0,38.0,94.0,39.0,49.0,51.0,29.0,52.0,85.0,34.0,39.0,72.0,55.0,56.0,62.0,83.0,47.0,31.0,79.0,31.0,93.0,51.0,56.0,68.0,88.0,38.0,71.0,9.0,48.0,63.0,37.0,56.0,49.0,32.0,45.0,59.0,18.0,28.0,56.0,23.0,49.0,37.0,91.0,18.0,34.0,70.0,43.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,34.0,23.0,8.0,1.0,0.5514705882352942
9.0,18.0,14.0,53.0,68.0,16.0,50.0,31.0,22.0,33.0,10.0,94.0,2.0,75.0,58.0,64.0,40.0,15.0,63.0,11.0,45.0,50.0,67.0,68.0,15.0,45.0,52.0,59.0,23.0,58.0,19.0,64.0,90.0,35.0,37.0,25.0,35.0,67.0,5.0,71.0,63.0,73.0,6.0,86.0,28.0,84.0,14.0,28.0,48.0,16.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,34.0,23.0,9.0,1.0,0.565359477124183
1.0,67.0,2.0,35.0,63.0,14.0,42.0,59.0,49.0,25.0,15.0,14.0,60.0,4.0,33.0,3.0,76.0,38.0,21.0,75.0,3.0,34.0,41.0,86.0,59.0,6.0,39.0,70.0,44.0,72.0,43.0,32.0,89.0,36.0,37.0,65.0,7.0,48.0,65.0,69.0,3.0,30.0,22.0,24.0,24.0,46.0,49.0,12.0,59.0,43.0,23.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,35.0,23.0,9.0,1.0,0.5460317460317461
21.0,18.0,14.0,3.0,67.0,75.0,103.0,57.0,51.0,61.0,61.0,22.0,13.0,45.0,60.0,65.0,74.0,45.0,80.0,13.0,3.0,69.0,5.0,17.0,34.0,21.0,10.0,90.0,69.0,77.0,16.0,45.0,35.0,45.0,91.0,33.0,27.0,56.0,11.0,59.0,9.0,72.0,56.0,21.0,16.0,72.0,67.0,28.0,20.0,70.0,65.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,36.0,24.0,9.0,1.0,0.5555555555555556
1.0,56.0,58.0,55.0,32.0,48.0,103.0,8.0,59.0,19.0,49.0,90.0,85.0,22.0,47.0,71.0,82.0,19.0,59.0,35.0,7.0,1.0,32.0,50.0,63.0,1.0,34.0,59.0,31.0,60.0,25.0,64.0,21.0,41.0,12.0,38.0,5.0,51.0,66.0,70.0,69.0,17.0,25.0,80.0,36.0,36.0,14.0,33.0,65.0,71.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,36.0,24.0,10.0,1.0,0.5666666666666667
18.0,74.0,29.0,79.0,44.0,14.0,94.0,18.0,24.0,49.0,49.0,54.0,10.0,11.0,55.0,62.0,49.0,30.0,59.0,85.0,9.0,72.0,68.0,76.0,82.0,6.0,68.0,72.0,59.0,60.0,27.0,11.0,73.0,46.0,66.0,38.0,15.0,48.0,35.0,45.0,24.0,34.0,9.0,6.0,52.0,82.0,85.0,36.0,32.0,37.0,22.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,37.0,25.0,10.0,1.0,0.5756756756756757
85.0,77.0,18.0,70.0,6.0,74.0,20.0,57.0,49.0,3.0,50.0,24.0,76.0,73.0,60.0,13.0,44.0,15.0,4.0,11.0,74.0,31.0,27.0,3.0,59.0,57.0,25.0,59.0,67.0,74.0,71.0,34.0,66.0,65.0,23.0,11.0,38.0,34.0,71.0,35.0,40.0,65.0,49.0,30.0,48.0,51.0,35.0,30.0,36.0,71.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,37.0,25.0,11.0,1.0,0.5847665847665847
80.0,33.0,83.0,75.0,75.0,7.0,89.0,18.0,57.0,56.0,71.0,86.0,66.0,59.0,64.0,75.0,37.0,67.0,57.0,39.0,84.0,57.0,79.0,74.0,26.0,29.0,30.0,82.0,54.0,3.0,39.0,35.0,81.0,49.0,7.0,25.0,44.0,58.0,15.0,62.0,69.0,55.0,9.0,42.0,50.0,11.0,35.0,3.0,15.0,70.0,26.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,38.0,26.0,11.0,1.0,0.5933014354066986
18.0,1.0,83.0,70.0,67.0,14.0,96.0,2.0,26.0,43.0,71.0,59.0,77.0,4.0,31.0,11.0,84.0,27.0,28.0,63.0,47.0,50.0,67.0,68.0,15.0,54.0,66.0,89.0,5.0,65.0,77.0,64.0,38.0,46.0,58.0,27.0,47.0,54.0,70.0,37.0,7.0,3.0,55.0,10.0,24.0,49.0,16.0,28.0,21.0,69.0,1.0,0,0.627114574921503,F,1.5,0.0,5,0.627114574921503,38.0,26.0,12.0,1.0,0.6008771929824561
81.0,16.0,26.0,81.0,63.0,54.0,84.0,30.0,63.0,59.0,88.0,24.0,60.0,72.0,69.0,38.0,13.0,75.0,47.0,58.0,3.0,4.0,68.0,76.0,20.0,45.0,37.0,82.0,72.0,23.0,37.0,32.0,60.0,26.0,17.0,3.0,31.0,47.0,75.0,48.0,60.0,47.0,50.0,46.0,2.0,12.0,75.0,36.0,69.0,76.0,7.0,1,0.627114574921503,F,1.5,1.0,5,0.627114574921503,39.0,27.0,12.0,1.0,0.6089743589743589
7.0,5.0,83.0,19.0,63.0,14.0,20.0,28.0,3.0,49.0,19.0,70.0,52.0,75.0,21.0,79.0,76.0,30.0,4.0,80.0,47.0,39.0,1.0,52.0,64.0,84.0,68.0,59.0,54.0,70.0,39.0,45.0,47.0,66.0,39.0,34.0,5.0,70.0,64.0,67.0,11.0,53.0,14.0,15.0,72.0,51.0,34.0,19.0,32.0,43.0,71.0,0,0.627114574921503,F,1.5,1.0,5,0.627114574921503,40.0,27.0,12.0,1.0,0.5916666666666667
